IR #,Created,Date/Time of Incident,Location of Incident,Additional Info,Type of Bias,Type of Bias,Type of Bias 2,Type of Bias 3,Type of Bias 4,How the Bias/Intolerance was Demonstrated
01402-2020,"June 15, 2020 4:00 PM",6/1/20 0:00,Internet,Zoom call for new employee orientation.,Anti-American Indian or Alaskan Native,Anti-American Indian or Alaskan Native,,,,Other
01453-2020,"June 26, 2020 2:45 PM",6/17/20 12:00,Internet,Social Media,Anti-Black / African American,Anti-Black / African American,,,,"Offensive language, Social media"
01454-2020,"June 26, 2020 2:53 PM",6/19/20 12:00,Internet,Instagram,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Social media
01455-2020,"June 26, 2020 2:58 PM",6/19/20 12:00,Internet,,Anti-Invisible Disability,Anti-Invisible Disability,,,,Offensive language
01456-2020,"June 26, 2020 3:01 PM",6/22/20 12:00,Internet,,Anti-Black / African American,Anti-Black / African American,,,,"Discriminatory treatment, Offensive language"
01457-2020,"June 26, 2020 3:05 PM",6/24/20 12:00,Internet,,"Racial/Ethnic Bias (Nonspecific), Sexual Orientation",Racial/Ethnic Bias (Nonspecific), Sexual Orientation,,,"Discriminatory treatment, Social media"
01458-2020,"June 26, 2020 3:07 PM",6/24/20 12:00,Internet,,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
01468-2020,"July 10, 2020 10:32 AM",6/29/20 15:00,Internet,,Anti-Gay,Anti-Gay,,,,"Offensive language, Written harassment/threat"
01469-2020,"July 10, 2020 10:38 AM",6/30/20 15:00,Internet,Facebook,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
01470-2020,"July 10, 2020 10:48 AM",7/8/20 15:00,Other Building,"La Casa 1203 W. Nevada Street, Urbana, IL 61801",Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Offensive language, Written harassment/threat"
01493-2020,"July 20, 2020 10:31 AM",6/25/20 15:38,Academic Building,"International Studies Building
910 South Fifth
Champaign, IL",Anti-Black / African American,Anti-Black / African American,,,,Offensive language
01499-2020,"July 24, 2020 8:49 AM",7/10/20 12:00,Internet,Facebook Live Video,Anti-White,Anti-White,,,,"Offensive language, Social media"
01500-2020,"July 24, 2020 8:54 AM",7/12/20 12:00,Internet,Instagram + Twitter,"Anti-Other race/ethnicity/ancestry, Religious Bias (Nonspecific)",Anti-Other race/ethnicity/ancestry, Religious Bias (Nonspecific),,,"Offensive language, Social media"
01501-2020,"July 24, 2020 8:56 AM",7/14/20 12:00,Internet,Twitter,"Anti-Other race/ethnicity/ancestry, Religious Bias (Nonspecific)",Anti-Other race/ethnicity/ancestry, Religious Bias (Nonspecific),,,"Offensive language, Social media"
01502-2020,"July 24, 2020 11:01 AM",7/17/20 12:00,Internet,Instagram,"Anti-Female, Other",Anti-Female, Other,,,"Offensive language, Social media"
01503-2020,"July 24, 2020 11:07 AM",7/21/20 12:00,Internet,League of Legends chat,Anti-Hispanic - Latinix,Anti-Hispanic - Latinix,,,,Offensive language
01504-2020,"July 24, 2020 11:11 AM",7/21/20 13:00,Academic Building,Electronics Lab,"Anti-Female, Anti-Gay",Anti-Female, Anti-Gay,,,"Discriminatory treatment, Offensive language"
01525-2020,"August 7, 2020 10:27 AM",7/28/20 0:00,Internet,,National Origin,National Origin,,,,Social media
01526-2020,"August 7, 2020 10:34 AM",7/29/20 0:00,Internet,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Social media
01527-2020,"August 7, 2020 10:46 AM",7/25/20 0:00,Other Business,Rogue Barbershop,Anti-Female,Anti-Female,,,,Other
01594-2020,"August 22, 2020 3:33 PM",8/22/20 11:58,Carr Hall,"1002 W. College Ct. Urbana, IL 61801",Racial/Ethnic Bias (Nonspecific),Racial/Ethnic Bias (Nonspecific),,,,Graffiti/vandalism
01784-2020,"September 2, 2020 10:02 PM",9/2/20 18:30,FAR Dining,Florida Avenue Residence Hall Dining Services,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Offensive language"
01995-2020,"September 8, 2020 9:11 PM",9/8/20 19:55,Internet,LSA General Zoom Meeting,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
02023-2020,"September 9, 2020 11:07 PM",9/9/20 17:25,Nugent Hall,,,,,,,
02160-2020,"September 13, 2020 3:16 AM",9/13/20 3:00,Weston Hall,,Other,Other,,,,"Graffiti/vandalism, Written harassment/threat"
02258-2020,"September 16, 2020 12:05 PM",8/12/20 12:00,Internet,Zoom,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
02259-2020,"September 16, 2020 12:58 PM",8/15/20 12:00,Internet,Facebook/Internet,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Graffiti/vandalism, Offensive language"
02260-2020,"September 16, 2020 1:01 PM",8/21/20 12:00,Internet,,National Origin,National Origin,,,,Social media
02264-2020,"September 16, 2020 1:36 PM",8/24/20 12:00,Internet,Email,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,"Offensive language, Written harassment/threat"
02265-2020,"September 16, 2020 2:00 PM",8/28/20 12:00,Internet,Zoom,"Anti-Gay, Anti-Black / African American, Anti-Jewish/Anti-Semitic",Anti-Gay, Anti-Black / African American, Anti-Jewish/Anti-Semitic,,"Offensive language, Written harassment/threat"
02266-2020,"September 16, 2020 2:16 PM",8/29/20 12:00,Internet,Zoom,Anti-Invisible Disability,Anti-Invisible Disability,,,,"Discriminatory treatment, Offensive language"
02267-2020,"September 16, 2020 2:33 PM",8/30/20 12:00,House,Faculty Members House,"Anti-Female, Anti-Asian, Family Status",Anti-Female, Anti-Asian, Family Status,,Offensive language
02268-2020,"September 16, 2020 2:38 PM",8/30/20 8:44,Internet,Text Message,Anti-Male,Anti-Male,,,,Offensive language
02269-2020,"September 16, 2020 2:40 PM",9/2/20 12:00,Academic Building,MCB Storeroom,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Discriminatory treatment
02270-2020,"September 16, 2020 2:43 PM",9/3/20 12:00,Other Building,Illini Union,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Graffiti/vandalism
02271-2020,"September 16, 2020 2:46 PM",9/1/20 21:00,Internet,Email,Anti-Invisible Disability,Anti-Invisible Disability,,,,Discriminatory treatment
02332-2020,"September 18, 2020 10:52 AM",9/4/20 0:00,Internet,,Anti-Black / African American,Anti-Black / African American,,,,"Offensive language, Social media, Written harassment/threat"
02334-2020,"September 18, 2020 10:58 AM",9/4/20 19:15,Alpha Sigma Phi,,Anti-Gay,Anti-Gay,,,,"Offensive language, Spoken harassment/threat"
02335-2020,"September 18, 2020 11:07 AM",9/8/20 7:02,Internet,,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,"Offensive language, Written harassment/threat"
02336-2020,"September 18, 2020 11:11 AM",9/16/20 0:00,Internet,Zoom,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,"Spoken harassment/threat , Written harassment/threat , Other"
02337-2020,"September 18, 2020 11:15 AM",9/14/20 0:00,Internet,Zoom,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
02421-2020,"September 22, 2020 6:34 PM",9/22/20 18:09,Internet,During the CBSU event,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Offensive language, Social media, Written harassment/threat"
02621-2020,"September 29, 2020 12:57 PM",9/28/20 0:00,Internet,,,,,,,
02624-2020,"September 29, 2020 4:17 PM",9/25/20 0:15,Townsend Hall,,"Anti-Hispanic - Latinix, National Origin",Anti-Hispanic - Latinix, National Origin,,,Offensive language
02678-2020,"October 2, 2020 11:07 AM",9/21/20 12:00,Internet,Instagram,Anti-Black / African American,Anti-Black / African American,,,,"Offensive language, Social media"
02679-2020,"October 2, 2020 11:16 AM",9/21/20 12:00,Unknown Location,Multiple Dates + Locations,"Anti-Invisible Disability, Anti-Black / African American",Anti-Invisible Disability, Anti-Black / African American,,,"Discriminatory treatment, Offensive language"
02725-2020,"October 5, 2020 8:53 AM",9/22/20 12:00,Internet,Online Physics Discussion,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Other
02734-2020,"October 5, 2020 9:01 AM",9/22/20 12:00,Other Business,Intermezzo Cafe (Krannert Performing Arts Center),Anti-Black / African American,Anti-Black / African American,,,,Other
02735-2020,"October 5, 2020 2:04 PM",9/24/20 12:00,Public Property,First + Green Street,Anti-Black / African American,Anti-Black / African American,,,,Other
02736-2020,"October 5, 2020 2:15 PM",9/24/20 19:00,Internet,ISG Facebook Livestream,"Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry",Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry,,,"Discriminatory treatment, Offensive language, Social media"
02737-2020,"October 5, 2020 2:28 PM",9/30/20 12:00,Internet,Group Chat Messages,Anti-White,Anti-White,,,,"Offensive language, Other"
02761-2020,"October 7, 2020 11:16 AM",10/6/20 19:30,Blaisdell Hall,,,,,,,Other
02893-2020,"October 15, 2020 2:55 PM",10/15/20 15:28,Townsend Hall,,Anti-Black / African American,Anti-Black / African American,,,,Spoken harassment/threat
02905-2020,"October 16, 2020 10:09 AM",10/6/20 0:00,Internet,,Erroneously Reported,Erroneously Reported,,,,
02906-2020,"October 16, 2020 10:13 AM",10/14/20 0:00,Internet,Zoom,"Gender/Sex, Gender Identity/Expressionn, Race/Ethnicity/Ancestry",Gender/Sex, Gender Identity/Expressionn, Race/Ethnicity/Ancestry,,"Discriminatory treatment, Graffiti/vandalism, Offensive language, Spoken harassment/threat , Written harassment/threat , Other"
03115-2020,"October 26, 2020 6:37 PM",10/26/20 14:00,Van Doren Hall,,"Anti-Gay, Racial/Ethnic Bias (Nonspecific)",Anti-Gay, Racial/Ethnic Bias (Nonspecific),,,Offensive language
03177-2020,"October 30, 2020 10:51 AM",10/17/20 22:15,Internet,Illini Esports Discord server voice channel called “Social Gaming”,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
03178-2020,"October 30, 2020 10:56 AM",10/22/20 12:00,Internet,,Ability Status,Ability Status,,,,Written harassment/threat
03179-2020,"October 30, 2020 10:58 AM",10/22/20 12:00,University Property,Housing Food Stores on Oak Street,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Spoken harassment/threat"
03182-2020,"October 30, 2020 12:30 PM",10/23/20 12:00,Private Property,"1002 W Springfield Ave, Urbana, IL 61801","Gender/Sex, Gender Identity/Expressionn, Race/Ethnicity/Ancestry",Gender/Sex, Gender Identity/Expressionn, Race/Ethnicity/Ancestry,,Graffiti/vandalism
03183-2020,"October 30, 2020 12:48 PM",10/26/20 12:00,SDRP - Ikenberry Commons,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Physical contact, Spoken harassment/threat"
03184-2020,"October 30, 2020 12:50 PM",10/28/20 13:30,Internet,History 311 Zoom Lecture,Anti-American Indian or Alaskan Native,Anti-American Indian or Alaskan Native,,,,Other
03185-2020,"October 30, 2020 12:57 PM",10/29/20 19:45,Internet,Zoom,"Military Discharge Status, Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry",Military Discharge Status, Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry,,"Offensive language, Spoken harassment/threat , Written harassment/threat"
03389-2020,"November 9, 2020 3:08 PM",11/6/20 0:00,PAR Main Building,,Anti-Black / African American,Anti-Black / African American,,,,Discriminatory treatment
03466-2020,"November 13, 2020 10:29 AM",10/31/20 0:00,Unknown Location,,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,
03467-2020,"November 13, 2020 10:33 AM",11/5/20 17:12,Private Property,Margie K. and Louis N. Cohen Center for Jewish Life,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,"Offensive language, Other"
03468-2020,"November 13, 2020 10:36 AM",11/8/20 13:00,Internet,,,,,,,"Offensive language, Social media"
03469-2020,"November 13, 2020 10:40 AM",11/8/20 23:00,Public Property,Green Street,National Origin,National Origin,,,,"Offensive language, Spoken harassment/threat"
03470-2020,"November 13, 2020 10:43 AM",11/9/20 0:00,Internet,Discord Server,,,,,,Offensive language
03471-2020,"November 13, 2020 10:50 AM",11/9/20 0:00,Internet,Twitter,"Anti-Female, Anti-Black / African American, Anti-Islamic",Anti-Female, Anti-Black / African American, Anti-Islamic,,"Offensive language, Social media"
03472-2020,"November 13, 2020 10:55 AM",11/11/20 0:00,Public Property,,,,,,,"Discriminatory treatment, Offensive language, Physical contact, Spoken harassment/threat"
03473-2020,"November 13, 2020 10:58 AM",11/12/20 0:00,Internet,,,,,,,"Offensive language, Social media"
03474-2020,"November 13, 2020 11:00 AM",11/12/20 0:00,Academic Building,,"Ability Status, Gender/Sex",Ability Status, Gender/Sex,,,"Discriminatory treatment, Offensive language, Spoken harassment/threat"
03483-2020,"November 13, 2020 10:02 PM",11/13/20 0:00,Evans Hall,,,,,,,Graffiti/vandalism
03579-2020,"November 19, 2020 12:37 PM",11/18/20 23:30,University Residence Halls,This incident occurred in a groupme chat for residents of Nugent Hall in the East section of the 3rd floor.,"Anti-Gay, Anti-Black / African American",Anti-Gay, Anti-Black / African American,,,"Offensive language, Social media"
03620-2020,"November 20, 2020 4:18 PM",11/17/20 13:42,Zeta Beta Tau,907 S Fourth St,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Spoken harassment/threat
03676-2020,"November 30, 2020 4:30 PM",10/31/20 0:00,Busey Evans Main Building,,Anti-Black / African American,Anti-Black / African American,,,,Other
03788-2020,"December 11, 2020 11:27 AM",11/22/20 12:00,Internet,Instagram Direct Message,"Religion, Race/Ethnicity/Ancestry",Religion, Race/Ethnicity/Ancestry,,,"Offensive language, Social media"
03789-2020,"December 11, 2020 11:33 AM",11/16/20 12:00,Internet,U of I Massmail,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Discriminatory treatment
03790-2020,"December 11, 2020 11:39 AM",11/30/20 12:00,Internet,,Gender Bias (Nonspecific),Gender Bias (Nonspecific),,,,"Offensive language, Social media"
00075-2021,"January 14, 2021 2:22 PM",12/14/20 0:00,Internet,Zoom- DGS staff meeting,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Spoken harassment/threat
00076-2021,"January 14, 2021 2:26 PM",12/21/20 0:00,Internet,ARC website,"Gender/Sex, Gender Identity/Expressionn",Gender/Sex, Gender Identity/Expressionn,,,"Offensive language, Other"
00077-2021,"January 14, 2021 2:30 PM",1/3/21 0:00,Internet,,,,,,,"Offensive language, Social media"
00078-2021,"January 14, 2021 2:37 PM",1/4/21 0:00,Apartment,,,,,,,Offensive language
00196-2021,"January 26, 2021 9:39 AM",1/14/21 12:00,Internet,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Social media
00357-2021,"February 5, 2021 8:31 AM",1/24/21 0:00,Internet,,"Gender/Sex, Gender Identity/Expressionn, Sexual Orientation",Gender/Sex, Gender Identity/Expressionn, Sexual Orientation,,"Offensive language, Social media, Written harassment/threat"
00358-2021,"February 5, 2021 8:35 AM",1/29/21 0:00,Academic Building,University Building (Academic or Non-Residential) - Department of Urban and Regional Planning office,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Spoken harassment/threat"
00359-2021,"February 5, 2021 8:37 AM",2/2/21 0:00,Public Property,Corner of 1st and Gregory,Anti-Black / African American,Anti-Black / African American,,,,"Physical contact, Spoken harassment/threat , Other"
00360-2021,"February 5, 2021 8:40 AM",2/4/21 0:00,Internet,Zoom,Other,Other,,,,Offensive language
00575-2021,"February 17, 2021 5:16 PM",2/17/21 16:30,Trelease Hall,RD Office space,Anti-Gay,Anti-Gay,,,,Offensive language
00603-2021,"February 18, 2021 10:32 PM",2/16/21 18:00,Allen Hall,Allen Hall Front Desk,,,,,,"Discriminatory treatment, Offensive language"
00691-2021,"February 24, 2021 9:08 PM",2/24/21 0:00,Internet,,,,,,,Offensive language
00767-2021,"March 2, 2021 6:49 PM",3/1/21 20:30,Weston Hall,,,,,,,"Offensive language, Social media"
00800-2021,"March 5, 2021 8:51 AM",2/7/21 12:00,Internet,,Erroneously Reported,Erroneously Reported,,,,Other
00801-2021,"March 5, 2021 8:55 AM",2/9/21 12:00,Internet,,Citizenship Status,Citizenship Status,,,,Spoken harassment/threat
00802-2021,"March 5, 2021 8:59 AM",2/9/21 0:00,Apartment,"AEPi ""Senior House""","Citizenship Status, Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry",Citizenship Status, Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry,,Graffiti/vandalism
00803-2021,"March 5, 2021 9:08 AM",2/11/21 12:00,Academic Building,Gregory Hall (309),"Race/Ethnicity/Ancestry, Sexual Orientation",Race/Ethnicity/Ancestry, Sexual Orientation,,,Discriminatory treatment
00807-2021,"March 5, 2021 11:07 AM",2/20/21 0:00,Apartment,,"Citizenship Status, Race/Ethnicity/Ancestry",Citizenship Status, Race/Ethnicity/Ancestry,,,"Offensive language, Spoken harassment/threat"
00808-2021,"March 5, 2021 11:12 AM",2/21/21 0:00,Internet,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Offensive language, Social media, Spoken harassment/threat , Written harassment/threat"
00809-2021,"March 5, 2021 11:16 AM",1/29/21 0:00,Internet,Zoom,Gender/Sex,Gender/Sex,,,,Spoken harassment/threat
00810-2021,"March 5, 2021 11:20 AM",2/23/21 0:00,Internet,Instagram and Facebook messenger,,,,,,"Offensive language, Social media, Spoken harassment/threat , Written harassment/threat"
00811-2021,"March 5, 2021 11:23 AM",2/21/21 0:00,Internet,email,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Other
00812-2021,"March 5, 2021 11:25 AM",2/25/21 0:00,Internet,Zoom,,,,,,Other
00813-2021,"March 5, 2021 1:37 PM",2/11/21 12:00,Internet,Zoom,"Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry",Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry,,,Graffiti/vandalism
00815-2021,"March 5, 2021 1:46 PM",2/12/21 12:00,Internet,Massmail,Anti-Arab,Anti-Arab,,,,Written harassment/threat
00816-2021,"March 5, 2021 1:58 PM",2/15/21 12:00,Internet,Zoom,"Gender Identity/Expressionn, Race/Ethnicity/Ancestry",Gender Identity/Expressionn, Race/Ethnicity/Ancestry,,,"Graffiti/vandalism, Offensive language, Spoken harassment/threat , Written harassment/threat"
00817-2021,"March 5, 2021 2:41 PM",2/15/21 12:00,Internet,Social Media,Anti-White,Anti-White,,,,Social media
00818-2021,"March 5, 2021 2:44 PM",2/15/21 12:00,Internet,Zoom,Gender Identity/Expressionn,Gender Identity/Expressionn,,,,Other
00819-2021,"March 5, 2021 2:50 PM",2/18/21 12:00,Internet,GroupMe,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Discriminatory treatment
00911-2021,"March 11, 2021 5:19 PM",3/11/21 0:00,SDRP - Ikenberry Commons,,,,,,,Discriminatory treatment
00931-2021,"March 12, 2021 12:21 PM",3/12/21 2:58,LAR Main Building,"Behind the bus stop on Lincoln Avenue in front of Lincoln Avenue Residence Hall.  LAR is located at 1005 S. Lincoln Ave.  Urbana, IL.  61801",,,,,,"Discriminatory treatment, Spoken harassment/threat"
